MWE	POS	Observations
a contrario	ADV	
a fortiori	ADV	
a minima	ADV	
a posteriori	ADV 	
a priori	ADV	
ah bon	INTJ	
ainsi de suite	ADV	
ainsi que	ADP 	
ainsi que	CCONJ	
ainsi que	SCONJ	
alors que	SCONJ 	
aujourd' hui	ADV	
à le jour le jour	ADV 	
à le mieux 	ADV	
à le moins 	ADV	
à le plus  	ADV	
à même	 ADP 	
à même	 ADJ 	
à moins	 ADV 	
à peu près	ADV	
à quoi bon 	ADV	
à tout le moins	ADV	
à travers 	ADP	
à travers	ADV	
best of	ADJ 	
bien que	SCONJ	
ce être - à - dire	CCONJ	
de accord	ADV	
 de ailleurs	ADV	
de après	ADP	
de autant plus	ADV	
de autant que	SCONJ	
de emblée	ADV	
de entre	ADP 	
de facto	ADV	
de le	DET	
de le moins	ADV 	
de même	ADV	
de ores et déjà	ADV	
de où	ADP 	
de par	ADP	
de sorte que	SCONJ	
de telle sorte que	SCONJ	
dès lors	ADV	
eh bien	INTJ	
en tant que	ADP	
en tant que tel	ADV 	
encore que 	SCONJ	
et puis	CCONJ	
ex officio	ADV	
globe trotter	NOUN	
grâce à	ADP	
grosso modo	ADV	
horresco referens	VERB 	
in vitro	ADV 	
in vivo	ADV	
le entre deux guerres	PROPN 	
le on	 PRON 	
le plus	ADV	
low cost	ADJ	
ne importe quel	DET 	
ne importe qui	PRON 	
ne importe quoi	PRON 	
non plus 	ADV	
ou bien	CCONJ	
parce que	SCONJ	
petit à petit	ADV 	
plus que	ADV 	Ex: c'est plus que moyen
pour de bon	ADV 	
pour le moins	ADV 	
quand bien même	SCONJ	
quand même	ADV	
quant à	ADP	
quelque peu	ADV 	
quitte à	ADP 	
rien que	ADV 	
rock and roll	NOUN 	
rythm and blues	NOUN 	
si bien que	SCONJ	
statu quo	NOUN	
suite à	ADP	
tandis que	SCONJ	
tel quel	ADJ 	
tout en	ADP	Irrégulier PARSEME
tout à fait	ADV	
tout à le heure	ADV	
tout à le mieux	ADV 	
tout de même	ADV 	
tout en	ADP 	
un petit peu	ADV 	
un peu	ADV 	
